X	Filing Date	Trade Date	Ticker	Company Name	Insider Name	Title	Trade Type	Price	Qty	Owned	ΔOwn	Value	1d	1w	1m	6m
	2024-06-07 09:54:47	2024-06-05	FRAF	Franklin Financial Services Corp /pa/	Duffey Gregory A	Dir	P - Purchase	$25.90	+2,000	20,127	+11%	+$51,800				
	2024-06-07 09:48:28	2024-06-06	LEG	Leggett & Platt Inc	Burns Benjamin Michael	EVP - CFO	P - Purchase	$12.20	+3,850	82,688	+5%	+$46,957				
	2024-06-07 09:38:12	2024-06-06	TPL	Texas Pacific Land Corp	Horizon Kinetics Asset Management LLC	10%	P - Purchase	$591.06	+3	1,085,043	0%	+$1,773				
	2024-06-07 09:21:41	2024-06-06	TGI	Triumph Group Inc	Egnotovich Cynthia M	Dir	P - Purchase	$15.14	+10,000	32,561	+44%	+$151,351				
M	2024-06-07 09:19:34	2024-06-05	PKOH	Park Ohio Holdings Corp	Crawford Matthew V	CEO, COB, Pres, 10%	P - Purchase	$24.23	+5,520	2,858,642	0%	+$133,749				
	2024-06-07 08:08:59	2024-06-06	BHRB	Burke & Herbert Financial Services Corp.	Riojas Jose David	Dir	P - Purchase	$47.75	+3	18,603	0%	+$143				
M	2024-06-07 08:02:48	2024-06-05	JXN	Jackson Financial Inc.	Cummings Don W	EVP, CFO	P - Purchase	$72.60	+2,826	47,092	+6%	+$205,160				
	2024-06-07 08:02:24	2024-06-06	BCBP	Bcb Bancorp Inc	Rizzo James G.	Dir	P - Purchase	$9.81	+1,250	128,172	+1%	+$12,258				
M	2024-06-06 21:45:55	2024-06-05	PODC	Podcastone, Inc.	Merriman D Jonathan	Dir	P - Purchase	$1.95	+42,000	233,918	+22%	+$81,700				
	2024-06-06 21:27:47	2024-06-04	ISBA	Isabella Bank Corp	McDonnell Neil Michael	Pres, CFO	P - Purchase	$18.50	+27	7,267	0%	+$500				
	2024-06-06 21:18:23	2024-06-04	PHUN	Phunware, Inc.	Reisner Troy Lee	CFO	P - Purchase	$5.76	+2,500	14,772	+20%	+$14,400				
M	2024-06-06 19:18:10	2024-06-04	RSVR	Reservoir Media, Inc.	Khosrowshahi Hassan	10%	P - Purchase	$8.01	+350,000	28,776,573	+1%	+$2,804,905				
	2024-06-06 18:58:44	2024-06-04	RSG	Republic Services, Inc.	Weymouth Katharine	Dir	P - Purchase	$185.26	+540	540	New	+$100,040				
M	2024-06-06 18:40:45	2024-06-05	OPAD	Offerpad Solutions Inc.	Sella Roberto Marco	Dir, 10%	P - Purchase	$4.87	+15,073	3,088,960	0%	+$73,400				
DM	2024-06-06 18:40:39	2024-06-05	FTHM	Fathom Holdings Inc.	Flanders Scott N	Dir	P - Purchase	$1.82	+40,515	655,378	+7%	+$73,820				
M	2024-06-06 18:27:30	2024-06-04	ALTI	Alti Global, Inc.	Ilwaddi Holdings	10%	P - Purchase	$4.90	+31,319	17,964,584	0%	+$153,452				
	2024-06-06 18:00:16	2024-06-05	ASRT	Assertio Holdings, Inc.	Mason Heather L	Interim Exec Officer	P - Purchase	$0.97	+25,000	212,650	+13%	+$24,250				
	2024-06-06 17:53:35	2024-06-06	BYON	Beyond, Inc.	Lemonis Marcus	Exec COB	P - Purchase	$14.61	+17,075	186,973	+10%	+$249,466				
	2024-06-06 17:52:55	2024-06-03	BBAI	Bigbear.Ai Holdings, Inc.	Braden Pamela Joyce	Dir	P - Purchase	$1.49	+140,939	446,396	+46%	+$209,999				
	2024-06-06 17:40:23	2024-06-06	FTNT	Fortinet, Inc.	Neukom William H.	Dir	P - Purchase	$59.55	+586	295,778	0%	+$34,898				
	2024-06-06 17:36:41	2024-06-06	UBFO	United Security Bancshares	Gill Jagroop	Dir	P - Purchase	$7.25	+4,543	1,071,412	0%	+$32,937				
M	2024-06-06 17:23:34	2024-06-05	UGRO	Urban-Gro, Inc.	Wilks Lewis	Dir	P - Purchase	$1.45	+20,000	184,108	+12%	+$29,000				
	2024-06-06 17:15:03	2024-06-06	STIM	Neuronetics, Inc.	Cascella Robert	Dir	P - Purchase	$2.05	+50,000	244,098	+26%	+$102,550				
	2024-06-06 17:00:25	2024-06-04	PCF	High Income Securities Fund	Hellerman Gerald	Dir	P - Purchase	$6.81	+100	40,026	0%	+$681				
	2024-06-06 16:59:48	2024-06-05	SYPR	Sypris Solutions Inc	Convis Gary L	Dir	P - Purchase	$1.62	+8,967	356,366	+3%	+$14,527				
